1,236510124070404097,Fitness Silvan,215,Fitness Officer,22.05.2021,Hi! 💯 I'm Silvan from Germany and 28 years old. I'm the original founder of the VRDancing discord server. Everything began when i first met the Fitness Marshall in PyPy's Just Dance world. Since then i've been dancing for over a year now to him and the fun never stopped. I have improved physically as well as mentally massively and i want to bring this to other people as well. Welcome to the Cult! 
2,180796908824952832,Chatmans,205,Fitness Officer,21.05.2021,"Howdy, I'm Chatmans, I make the VRDancing world with mxmmix. A nerd from the very beginning, I would have never thought I'd dance and workout in my life. It made me meet so many wonderful people, I'm forever grateful. At this point I'm just glad I invested myself into this even if my hardware hate me for it.  Not a baguette speaker, don't listen to the accent. Also I'm a cat."
5,373880792918523904,MidnightEclipse,140,Fitness Major,21.05.2021,"The FitnessGram PACER Test is a multistage aerobic capacity test that progressively gets more difficult as it continues.

The test is used to measure a student's aerobic capacity as part of the FitnessGram assessment. Students run back and forth as many times as they can, each lap signaled by a beep sound. The test get progressively faster as it continues until the student reaches their max lap score.

The PACER Test score is combined in the FitnessGram software with scores for muscular strength, endurance, flexibility and body composition to determine whether a student is in the Healthy Fitness Zone™ or the Needs Improvement Zone.
The FitnessGram PACER Test is a multistage aerobic capacity test that progressively gets more difficult as it continues.

The test is used to measure a student's aerobic capacity as part of the FitnessGram assessment. Students run back and forth as many times as they can, each lap signaled by a beep sound. The test get progressively faster as it continues until the student reaches their max lap score.

The PACER Test score is combined in the FitnessGram software with scores for muscular strength, endurance, flexibility and body composition to determine whether a student is in the Healthy Fitness Zone™ or the Needs Improvement Zone"
23,249639666100207617,Felky,135,Fitness Major,22.05.2021,ydfasdf
13,234442172852731904,Scolly,130,Fitness Major,22.05.2021,"I may dance at times, don't know yet "
32,163792067376447493,EZ,130,Fitness Major,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
18,693284052467187793,Kyōto,125,Fitness Major,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
9,490991194591985664,Dranenk,115,Fitness Major,22.05.2021,The fluffiest butt on the server. You should definitely check it out xD
36,199540008095449089,Kohryu,110,Fitness Major,22.05.2021,If I would get one Euro of every Bio search of me I would have one Euro now...
17,360086749525049356,Eizzi,110,Fitness Major,22.05.2021,I like to wiggle myself to the music.
24,561561733915869194,Sakari`,105,Fitness Major,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
30,175389808191864832,Phoenix Star,105,Fitness Major,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
7,140176027124105217,Obaid,105,Fitness Major,22.05.2021,"Your typical friendly guy who likes gaming, anime, and cars. I found out about dancing in vr when I was looking for something to do while standing still, because I get motion sickness very easily. And it instantly became one of my favourite hobbies"
